Epoch	Training Loss	Validation Loss	Accuracy	Kappa
1	1.2424	0.6029	0.8575	0.8189
2	0.4224	0.3896	0.9095	0.8860
3	0.1948	0.4454	0.8889	0.8605
4	0.1082	0.3902	0.8975	0.8711
5	0.0604	0.4560	0.8898	0.8625
6	0.0256	0.5343	0.8807	0.8514
7	0.0170	0.5842	0.8760	0.8457
8	0.0096	0.5294	0.8850	0.8566
9	0.0062	0.5637	0.8819	0.8526
10	0.0051	0.5859	0.8702	0.8385
11	0.0045	0.5764	0.8700	0.8383
12	0.0048	0.5988	0.8670	0.8347
13	0.0038	0.5998	0.8730	0.8418
14	0.0033	0.5805	0.8789	0.8488
15	0.0036	0.6198	0.8633	0.8302
16	0.0033	0.6478	0.8613	0.8278
17	0.0038	0.6163	0.8640	0.8310
18	0.0039	0.5821	0.8733	0.8421
19	0.0032	0.6224	0.8655	0.8328
20	0.0034	0.6069	0.8702	0.8384
21	0.0028	0.6384	0.8624	0.8293
22	0.0032	0.5863	0.8720	0.8407
23	0.0037	0.6160	0.8719	0.8405
24	0.0034	0.5915	0.8680	0.8358
25	0.0036	0.6154	0.8674	0.8351
